island,culmen_length_mm,culmen_depth_mm,flipper_length_mm
1,35.5,17.5,190.0
2,43.2,14.5,208.0
2,40.5,18.9,180.0
1,35.1,19.4,193.0
2,49.8,16.8,230.0
2,38.2,20.0,190.0
3,50.9,17.9,196.0
3,51.4,19.0,201.0
3,37.5,18.5,199.0
3,42.5,16.7,187.0
2,47.8,15.0,215.0
3,37.0,16.9,185.0
2,49.4,15.8,216.0
2,41.6,18.0,192.0
2,53.4,15.8,219.0
3,41.3,20.3,194.0
3,49.7,18.6,195.0
1,33.5,19.0,190.0
3,51.3,18.2,197.0
1,41.1,17.6,182.0
3,39.2,21.1,196.0
2,37.9,18.6,172.0
3,46.4,18.6,190.0
3,32.1,15.5,188.0
2,48.2,14.3,210.0
1,43.1,19.2,197.0
2,43.5,14.2,220.0
2,40.1,18.9,188.0
3,40.8,18.9,208.0
2,47.5,14.2,209.0
3,50.5,18.4,200.0
3,45.7,17.3,193.0
1,41.4,18.5,202.0
3,40.8,18.4,195.0
3,38.9,18.8,190.0
2,44.9,13.3,213.0
3,42.5,17.3,187.0
3,35.6,17.5,191.0
2,40.6,18.6,183.0
2,48.8,16.2,222.0
3,40.6,17.2,187.0
2,46.2,14.4,214.0
1,36.7,19.3,193.0
1,39.1,18.7,181.0
2,43.3,14.0,208.0
2,46.4,15.0,216.0
2,45.5,14.5,212.0
2,35.0,17.9,192.0
2,45.4,14.6,211.0
3,49.0,19.5,210.0
2,48.6,16.0,230.0
3,50.8,19.0,210.0
3,46.8,16.5,189.0
2,37.8,20.0,190.0
3,49.2,18.2,195.0
3,33.1,16.1,178.0
3,38.8,20.0,190.0
3,55.8,19.8,207.0
2,41.3,21.1,195.0
3,36.0,17.1,187.0
2,44.5,14.3,216.0
3,37.5,18.9,179.0
3,39.5,17.8,188.0
2,45.8,14.2,219.0
1,37.8,17.3,180.0
2,46.8,14.3,215.0
3,51.5,18.7,187.0
2,51.3,14.2,218.0
2,40.5,17.9,187.0
2,46.2,14.9,221.0
2,40.9,13.7,214.0
3,46.6,17.8,193.0
2,41.7,14.7,210.0
3,37.0,16.5,185.0
2,37.6,17.0,185.0
3,41.1,17.5,190.0
1,39.0,17.1,191.0
1,34.1,18.1,193.0
2,36.4,17.1,184.0
1,34.6,21.1,198.0
3,52.7,19.8,197.0
3,36.5,18.0,182.0
2,50.8,15.7,226.0
2,50.4,15.3,224.0
3,43.5,18.1,202.0
2,45.2,13.8,215.0
2,42.0,13.5,210.0
3,52.2,18.8,197.0
3,51.9,19.5,206.0
2,47.2,15.5,215.0
2,42.8,14.2,209.0
2,55.1,16.0,230.0
2,44.5,14.7,214.0
2,45.2,15.8,215.0
3,49.8,17.3,198.0
3,51.3,19.9,198.0
3,44.1,19.7,196.0
3,49.6,18.2,193.0
3,46.9,16.6,192.0
2,48.7,15.7,208.0
2,39.7,18.9,184.0
2,42.0,19.5,200.0
1,39.5,17.4,186.0
3,42.3,21.2,191.0
1,34.6,17.2,189.0
3,50.7,19.7,203.0
3,36.4,17.0,195.0
2,49.6,15.0,216.0
3,41.1,18.1,205.0
2,35.0,17.9,190.0
2,50.5,15.9,222.0
2,45.1,14.5,215.0
1,38.6,21.2,191.0
3,38.3,19.2,189.0
2,50.1,15.0,225.0
3,45.9,17.1,190.0
2,47.2,13.7,214.0
3,38.1,17.6,187.0
2,43.4,14.4,218.0
2,46.2,14.1,217.0
2,46.3,15.8,215.0
2,34.5,18.1,187.0
2,39.6,17.7,186.0
3,43.2,16.6,187.0
3,52.0,20.7,210.0
2,45.2,14.8,212.0
3,47.5,16.8,199.0
3,58.0,17.8,181.0
2,36.5,16.6,181.0
3,36.0,17.9,190.0
2,49.3,15.7,217.0
2,45.1,14.5,207.0
2,37.7,18.7,180.0
2,49.5,16.1,224.0
3,46.0,18.9,195.0
2,43.8,13.9,208.0
3,53.5,19.9,205.0
2,46.5,14.8,217.0
2,44.4,17.3,219.0
2,47.5,14.0,212.0
3,37.8,18.1,193.0
1,38.5,17.9,190.0
3,41.5,18.5,201.0
3,43.2,18.5,192.0
3,36.9,18.6,189.0
2,50.5,15.2,216.0
3,45.7,17.0,195.0
1,37.7,19.8,198.0
2,49.9,16.1,213.0
2,37.8,18.3,174.0
3,47.6,18.3,195.0
1,39.7,18.4,190.0
2,38.6,17.2,199.0
2,46.6,14.2,210.0
2,37.7,16.0,183.0
